NO,PROVINSI,Y_PDRB,X1_PAD,X2_IPM,X3_TPAK,X4_AKSESLISTRIK,X5_TELEPONSELULER,X6_JP,X7_IMK,X8_WISATAWAN
1,ACEH,146932.42,2805477191,73.4,64.77,99.67,93.96,5482.5,55263,156224371
2,BALI,159447.66,4731419182,77.1,77.08,99.9,92.7,4404.3,62893.5,207104573
3,BANTEN,507425.74,8544574336,73.87,64.44,99.68,93.2,12307.7,48546,115570236
4,BENGKULU,52051.56,967957038,72.78,70.91,99.45,94.57,2086,13265.5,27613125
5,DAERAH ISTIMEWA YOGYAKARTA,118625.54,2233040239,81.07,74.08,100,91.56,3736.5,67012.5,44399501
6,DKI JAKARTA,2050472.97,52773523660,82.46,65.21,99.91,98.57,10672.1,39996,63622596
7,GORONTALO,31643.79,491989219,70.45,70.79,98.46,94.34,1213.2,19462.5,25426960
8,JAMBI,169277.62,2259688736,72.77,68.75,98.67,94.96,3679.2,17267,13760697
9,JAWA BARAT,1669421.49,23688886924,73.74,66.49,99.92,90.82,49860.3,320819.5,10994493
10,JAWA TENGAH,1102473.58,17910513776,73.39,71.72,99.95,88.44,37541,431463,11147053
11,JAWA TIMUR,1844808.68,19167287504,73.38,72.56,99.64,88.92,41527.9,488735.5,14692245
12,KALIMANTAN BARAT,154980.81,3029176056,69.41,69.42,91.19,92.91,5623.3,24228,4711038
13,KALIMANTAN TENGAH,113611.53,2472456921,72.2,67.18,87.81,93.97,2773.7,14275.5,5064324
14,KALIMANTAN SELATAN,149226.1,4045819428,72.5,69.76,98.94,92.81,4222.3,33685,12922404
15,KALIMANTAN TIMUR,537630.01,8045500965,78.2,65.57,95.36,97.48,3909.7,17820.5,8943786
16,KALIMANTAN UTARA,69816.76,791574905,72.49,70.35,95.72,97.71,730,2985,1588351
17,KEPULAUAN BANGKA BELITUNG,60336.51,1038304939,72.85,68.34,99.55,96.09,1511.9,8131,20833503
18,KEPULAUAN RIAU,199912.83,1518211727,77.11,68.68,97.85,98.42,2152.6,13133.5,7869846
19,LAMPUNG,269240.54,4146226408,71.15,70.04,98.9,94.19,9314,40627.5,7903336
20,MALUKU,35322.9,622414226,70.94,63.6,93.26,92.32,1920.5,30753.5,30437069
21,MALUKU UTARA,48494.74,1053227132,70.21,67.77,91.58,93.51,1337.1,8669,4783187
22,NUSA TENGGARA BARAT,103906.22,2985278111,70.02,73.31,99.68,90.08,5560.3,74981,6289067
23,NUSA TENGGARA TIMUR,75234.57,2139341049,66.68,75.72,87.81,90.18,5569.1,62970,4023322
24,PAPUA,49549.83,587427518,62.25,77.2,47.07,54.62,4482.7,6708,11069947
25,PAPUA BARAT,40965.89,640881516,66.66,67.24,83.2,90.78,1187.3,2918.5,5398846
26,RIAU,551828.49,5410980551,74.04,64.45,95.54,97.62,6642.9,31181.5,2295496
27,SULAWESI BARAT,35402.56,438341642,67.55,71.05,94.67,93.84,1481.1,11244,2957142
28,SULAWESI SELATAN,377207.78,5801319086,73.46,65.66,97.63,95.73,9362.3,61963,1061844
29,SULAWESI TENGAH,193181.36,1701785045,70.09,69.85,95.86,92.07,3086.8,38064.5,2382969
30,SULAWESI TENGGARA,108152.98,1625581261,72.79,70.07,97.61,96.89,2749,24576.5,3510961
31,SULAWESI UTARA,102070.48,1537064616,74.36,64.09,99.39,93.64,2681.5,30480.5,1808020
32,SUMATERA BARAT,191070.55,3030460024,73.75,69.61,98.99,95.96,5757.2,44110.5,1905921
33,SUMATERA SELATAN,360967.45,5608776752,71.62,70.72,96.77,95.46,8743.5,38608,762438
34,SUMATERA UTARA,602235.95,7857572684,73.37,71.06,98.9,95.74,15386.6,63453.5,588871
